id,AREA,AGE_ADJUSTED_CI_LOWER,AGE_ADJUSTED_CI_UPPER,AGE_ADJUSTED_RATE,COUNT,EVENT_TYPE,POPULATION,RACE,SEX,SITE,YEAR,CRUDE_CI_LOWER,CRUDE_CI_UPPER,CRUDE_RATE
102,Alabama,40.3,45.3,42.8,1139,Incidence,2314370,All Races,Female,Colon and Rectum,2002,46.4,52.2,49.2
103,Alabama,13.6,16.5,15.0,411,Mortality,2314370,All Races,Female,Colon and Rectum,2002,16.1,19.6,17.8
104,Alabama,38.5,43.3,40.9,1112,Incidence,2324069,All Races,Female,Colon and Rectum,2003,45.1,50.7,47.8
105,Alabama,14.4,17.4,15.8,441,Mortality,2324069,All Races,Female,Colon and Rectum,2003,17.2,20.8,19.0
106,Alabama,40.2,45.2,42.7,1161,Incidence,2337857,All Races,Female,Colon and Rectum,2004,46.8,52.6,49.7
107,Alabama,13.8,16.8,15.3,428,Mortality,2337857,All Races,Female,Colon and Rectum,2004,16.6,20.1,18.3
108,Alabama,40.9,45.8,43.3,1195,Incidence,2354514,All Races,Female,Colon and Rectum,2005,47.9,53.7,50.8
109,Alabama,13.3,16.2,14.7,415,Mortality,2354514,All Races,Female,Colon and Rectum,2005,16.0,19.4,17.6
110,Alabama,40.0,44.9,42.4,1193,Incidence,2385480,All Races,Female,Colon and Rectum,2006,47.2,52.9,50.0
111,Alabama,14.8,17.8,16.3,463,Mortality,2385480,All Races,Female,Colon and Rectum,2006,17.7,21.3,19.4
112,Alabama,39.0,43.8,41.4,1178,Incidence,2407275,All Races,Female,Colon and Rectum,2007,46.2,51.8,48.9
113,Alabama,13.5,16.3,14.9,429,Mortality,2407275,All Races,Female,Colon and Rectum,2007,16.2,19.6,17.8
114,Alabama,40.2,45.0,42.5,1247,Incidence,2430257,All Races,Female,Colon and Rectum,2008,48.5,54.2,51.3
115,Alabama,14.7,17.6,16.1,480,Mortality,2430257,All Races,Female,Colon and Rectum,2008,18.0,21.6,19.8
116,Alabama,37.6,42.2,39.8,1171,Incidence,2448159,All Races,Female,Colon and Rectum,2009,45.1,50.7,47.8
117,Alabama,13.3,16.1,14.7,438,Mortality,2448159,All Races,Female,Colon and Rectum,2009,16.3,19.6,17.9
118,Alabama,36.3,38.3,37.3,5633,Incidence,12356437,All Races,Female,Colon and Rectum,2009-2013,44.4,46.8,45.6
119,Alabama,13.1,14.3,13.7,2097,Mortality,12356437,All Races,Female,Colon and Rectum,2009-2013,16.3,17.7,17.0
120,Alabama,35.1,39.6,37.3,1111,Incidence,2463573,All Races,Female,Colon and Rectum,2010,42.5,47.8,45.1
121,Alabama,11.9,14.6,13.2,398,Mortality,2463573,All Races,Female,Colon and Rectum,2010,14.6,17.8,16.2
122,Alabama,32.1,36.3,34.1,1041,Incidence,2472801,All Races,Female,Colon and Rectum,2011,39.6,44.7,42.1
123,Alabama,12.2,14.8,13.4,412,Mortality,2472801,All Races,Female,Colon and Rectum,2011,15.1,18.4,16.7
124,Alabama,35.8,40.4,38.0,1150,Incidence,2481503,All Races,Female,Colon and Rectum,2012,43.7,49.1,46.3
125,Alabama,12.1,14.8,13.4,414,Mortality,2481503,All Races,Female,Colon and Rectum,2012,15.1,18.4,16.7
126,Alabama,35.0,39.4,37.2,1160,Incidence,2490401,All Races,Female,Colon and Rectum,2013,43.9,49.3,46.6
127,Alabama,12.5,15.2,13.8,435,Mortality,2490401,All Races,Female,Colon and Rectum,2013,15.9,19.2,17.5
128,Alabama,15.8,19.1,17.4,438,Incidence,2293259,All Races,Female,"Corpus and Uterus, NOS",1999,17.4,21.0,19.1
129,Alabama,3.6,5.2,4.3,115,Mortality,2293259,All Races,Female,"Corpus and Uterus, NOS",1999,4.1,6.0,5.0
130,Alabama,15.3,18.6,16.9,435,Incidence,2302835,All Races,Female,"Corpus and Uterus, NOS",2000,17.2,20.8,18.9
131,Alabama,2.8,4.2,3.4,92,Mortality,2302835,All Races,Female,"Corpus and Uterus, NOS",2000,3.2,4.9,4.0
132,Alabama,15.1,18.3,16.6,431,Incidence,2309496,All Races,Female,"Corpus and Uterus, NOS",2001,16.9,20.5,18.7
133,Alabama,2.9,4.4,3.6,97,Mortality,2309496,All Races,Female,"Corpus and Uterus, NOS",2001,3.4,5.1,4.2
134,Alabama,13.4,16.4,14.8,391,Incidence,2314370,All Races,Female,"Corpus and Uterus, NOS",2002,15.3,18.7,16.9
135,Alabama,3.0,4.5,3.7,101,Mortality,2314370,All Races,Female,"Corpus and Uterus, NOS",2002,3.6,5.3,4.4
136,Alabama,15.7,18.9,17.2,457,Incidence,2324069,All Races,Female,"Corpus and Uterus, NOS",2003,17.9,21.6,19.7
137,Alabama,3.1,4.6,3.7,103,Mortality,2324069,All Races,Female,"Corpus and Uterus, NOS",2003,3.6,5.4,4.4
138,Alabama,15.4,18.6,17.0,457,Incidence,2337857,All Races,Female,"Corpus and Uterus, NOS",2004,17.8,21.4,19.5
139,Alabama,3.0,4.5,3.7,102,Mortality,2337857,All Races,Female,"Corpus and Uterus, NOS",2004,3.6,5.3,4.4
140,Alabama,16.0,19.2,17.6,475,Incidence,2354514,All Races,Female,"Corpus and Uterus, NOS",2005,18.4,22.1,20.2
141,Alabama,2.7,4.1,3.4,95,Mortality,2354514,All Races,Female,"Corpus and Uterus, NOS",2005,3.3,4.9,4.0
142,Alabama,16.6,19.8,18.2,508,Incidence,2385480,All Races,Female,"Corpus and Uterus, NOS",2006,19.5,23.2,21.3
143,Alabama,2.3,3.6,2.9,83,Mortality,2385480,All Races,Female,"Corpus and Uterus, NOS",2006,2.8,4.3,3.5
144,Alabama,17.2,20.4,18.7,529,Incidence,2407275,All Races,Female,"Corpus and Uterus, NOS",2007,20.1,23.9,22.0
145,Alabama,2.7,4.1,3.4,98,Mortality,2407275,All Races,Female,"Corpus and Uterus, NOS",2007,3.3,5.0,4.1
146,Alabama,17.3,20.6,18.9,550,Incidence,2430257,All Races,Female,"Corpus and Uterus, NOS",2008,20.8,24.6,22.6
147,Alabama,3.1,4.6,3.8,114,Mortality,2430257,All Races,Female,"Corpus and Uterus, NOS",2008,3.9,5.6,4.7
148,Alabama,16.8,20.0,18.4,541,Incidence,2448159,All Races,Female,"Corpus and Uterus, NOS",2009,20.3,24.0,22.1
149,Alabama,2.9,4.3,3.5,106,Mortality,2448159,All Races,Female,"Corpus and Uterus, NOS",2009,3.5,5.2,4.3
150,Alabama,18.0,19.4,18.7,2858,Incidence,12356437,All Races,Female,"Corpus and Uterus, NOS",2009-2013,22.3,24.0,23.1
151,Alabama,3.1,3.7,3.4,533,Mortality,12356437,All Races,Female,"Corpus and Uterus, NOS",2009-2013,4.0,4.7,4.3
152,Alabama,17.9,21.2,19.5,585,Incidence,2463573,All Races,Female,"Corpus and Uterus, NOS",2010,21.9,25.8,23.7
153,Alabama,2.8,4.2,3.4,105,Mortality,2463573,All Races,Female,"Corpus and Uterus, NOS",2010,3.5,5.2,4.3
154,Alabama,16.6,19.8,18.1,554,Incidence,2472801,All Races,Female,"Corpus and Uterus, NOS",2011,20.6,24.3,22.4
155,Alabama,3.0,4.4,3.6,111,Mortality,2472801,All Races,Female,"Corpus and Uterus, NOS",2011,3.7,5.4,4.5
156,Alabama,17.1,20.2,18.6,582,Incidence,2481503,All Races,Female,"Corpus and Uterus, NOS",2012,21.6,25.4,23.5
157,Alabama,2.4,3.6,3.0,97,Mortality,2481503,All Races,Female,"Corpus and Uterus, NOS",2012,3.2,4.8,3.9
158,Alabama,17.2,20.3,18.7,596,Incidence,2490401,All Races,Female,"Corpus and Uterus, NOS",2013,22.0,25.9,23.9
159,Alabama,2.9,4.3,3.5,114,Mortality,2490401,All Races,Female,"Corpus and Uterus, NOS",2013,3.8,5.5,4.6
160,Alabama,1.1,2.2,1.6,42,Incidence,2293259,All Races,Female,Esophagus,1999,1.3,2.5,1.8
161,Alabama,1.2,2.2,1.6,43,Mortality,2293259,All Races,Female,Esophagus,1999,1.4,2.5,1.9
162,Alabama,1.6,2.7,2.1,55,Incidence,2302835,All Races,Female,Esophagus,2000,1.8,3.1,2.4
163,Alabama,1.0,1.9,1.4,38,Mortality,2302835,All Races,Female,Esophagus,2000,1.2,2.3,1.7
164,Alabama,1.4,2.5,1.9,52,Incidence,2309496,All Races,Female,Esophagus,2001,1.7,3.0,2.3
165,Alabama,1.4,2.5,1.9,52,Mortality,2309496,All Races,Female,Esophagus,2001,1.7,3.0,2.3
166,Alabama,1.4,2.5,1.9,51,Incidence,2314370,All Races,Female,Esophagus,2002,1.6,2.9,2.2
167,Alabama,1.0,2.0,1.5,40,Mortality,2314370,All Races,Female,Esophagus,2002,1.2,2.4,1.7
168,Alabama,1.3,2.4,1.8,48,Incidence,2324069,All Races,Female,Esophagus,2003,1.5,2.7,2.1
169,Alabama,1.1,2.0,1.5,41,Mortality,2324069,All Races,Female,Esophagus,2003,1.3,2.4,1.8
170,Alabama,1.0,1.9,1.4,39,Incidence,2337857,All Races,Female,Esophagus,2004,1.2,2.3,1.7
171,Alabama,1.1,2.1,1.5,42,Mortality,2337857,All Races,Female,Esophagus,2004,1.3,2.4,1.8
172,Alabama,1.7,2.9,2.3,63,Incidence,2354514,All Races,Female,Esophagus,2005,2.1,3.4,2.7
173,Alabama,0.7,1.4,1.0,28,Mortality,2354514,All Races,Female,Esophagus,2005,0.8,1.7,1.2
174,Alabama,1.3,2.3,1.7,48,Incidence,2385480,All Races,Female,Esophagus,2006,1.5,2.7,2.0
175,Alabama,0.9,1.8,1.3,38,Mortality,2385480,All Races,Female,Esophagus,2006,1.1,2.2,1.6
176,Alabama,1.2,2.2,1.6,46,Incidence,2407275,All Races,Female,Esophagus,2007,1.4,2.5,1.9
177,Alabama,0.7,1.6,1.1,32,Mortality,2407275,All Races,Female,Esophagus,2007,0.9,1.9,1.3
178,Alabama,0.8,1.6,1.1,33,Incidence,2430257,All Races,Female,Esophagus,2008,0.9,1.9,1.4
179,Alabama,0.7,1.5,1.1,33,Mortality,2430257,All Races,Female,Esophagus,2008,0.9,1.9,1.4
180,Alabama,1.3,2.3,1.7,51,Incidence,2448159,All Races,Female,Esophagus,2009,1.6,2.7,2.1
181,Alabama,0.9,1.8,1.3,37,Mortality,2448159,All Races,Female,Esophagus,2009,1.1,2.1,1.5
182,Alabama,1.6,2.0,1.8,275,Incidence,12356437,All Races,Female,Esophagus,2009-2013,2.0,2.5,2.2
183,Alabama,1.3,1.7,1.5,225,Mortality,12356437,All Races,Female,Esophagus,2009-2013,1.6,2.1,1.8
184,Alabama,1.6,2.7,2.1,62,Incidence,2463573,All Races,Female,Esophagus,2010,1.9,3.2,2.5
185,Alabama,1.3,2.3,1.8,54,Mortality,2463573,All Races,Female,Esophagus,2010,1.6,2.9,2.2
186,Alabama,1.6,2.6,2.0,63,Incidence,2472801,All Races,Female,Esophagus,2011,2.0,3.3,2.5
187,Alabama,1.2,2.1,1.6,49,Mortality,2472801,All Races,Female,Esophagus,2011,1.5,2.6,2.0
188,Alabama,1.2,2.2,1.7,52,Incidence,2481503,All Races,Female,Esophagus,2012,1.6,2.7,2.1
189,Alabama,1.2,2.1,1.6,50,Mortality,2481503,All Races,Female,Esophagus,2012,1.5,2.7,2.0
190,Alabama,1.1,1.9,1.4,47,Incidence,2490401,All Races,Female,Esophagus,2013,1.4,2.5,1.9
191,Alabama,0.8,1.5,1.1,35,Mortality,2490401,All Races,Female,Esophagus,2013,1.0,2.0,1.4
192,Alabama,117.5,126.3,121.8,3010,Incidence,2293259,All Races,Female,Female Breast,1999,126.6,136.0,131.3
193,Alabama,23.7,27.7,25.7,653,Mortality,2293259,All Races,Female,Female Breast,1999,26.3,30.7,28.5
194,Alabama,113.4,122.0,117.7,2966,Incidence,2302835,All Races,Female,Female Breast,2000,124.2,133.5,128.8
195,Alabama,24.7,28.7,26.7,691,Mortality,2302835,All Races,Female,Female Breast,2000,27.8,32.3,30.0
196,Alabama,117.6,126.2,121.8,3099,Incidence,2309496,All Races,Female,Female Breast,2001,129.5,139.0,134.2
197,Alabama,26.6,30.7,28.6,748,Mortality,2309496,All Races,Female,Female Breast,2001,30.1,34.8,32.4
198,Alabama,114.9,123.4,119.1,3054,Incidence,2314370,All Races,Female,Female Breast,2002,127.3,136.7,132.0
199,Alabama,23.7,27.6,25.6,681,Mortality,2314370,All Races,Female,Female Breast,2002,27.3,31.7,29.4
200,Alabama,107.5,115.8,111.6,2892,Incidence,2324069,All Races,Female,Female Breast,2003,119.9,129.1,124.4
201,Alabama,23.5,27.4,25.4,679,Mortality,2324069,All Races,Female,Female Breast,2003,27.1,31.5,29.2
202,Alabama,107.5,115.7,111.5,2930,Incidence,2337857,All Races,Female,Female Breast,2004,120.8,130.0,125.3
203,Alabama,22.4,26.2,24.2,651,Mortality,2337857,All Races,Female,Female Breast,2004,25.7,30.1,27.8
204,Alabama,110.9,119.1,114.9,3079,Incidence,2354514,All Races,Female,Female Breast,2005,126.2,135.5,130.8
205,Alabama,25.5,29.4,27.4,751,Mortality,2354514,All Races,Female,Female Breast,2005,29.7,34.3,31.9
206,Alabama,115.7,124.1,119.9,3244,Incidence,2385480,All Races,Female,Female Breast,2006,131.3,140.8,136.0
207,Alabama,21.8,25.5,23.6,660,Mortality,2385480,All Races,Female,Female Breast,2006,25.6,29.9,27.7
208,Alabama,113.8,122.0,117.8,3251,Incidence,2407275,All Races,Female,Female Breast,2007,130.4,139.8,135.0
209,Alabama,22.4,26.1,24.2,682,Mortality,2407275,All Races,Female,Female Breast,2007,26.2,30.5,28.3
210,Alabama,118.4,126.8,122.5,3445,Incidence,2430257,All Races,Female,Female Breast,2008,137.1,146.6,141.8
211,Alabama,21.6,25.2,23.3,686,Mortality,2430257,All Races,Female,Female Breast,2008,26.2,30.4,28.2
212,Alabama,116.4,124.6,120.5,3442,Incidence,2448159,All Races,Female,Female Breast,2009,135.9,145.4,140.6
213,Alabama,20.3,23.8,22.0,645,Mortality,2448159,All Races,Female,Female Breast,2009,24.4,28.5,26.3
214,Alabama,117.5,121.1,119.3,17529,Incidence,12356437,All Races,Female,Female Breast,2009-2013,139.8,144.0,141.9
215,Alabama,21.4,23.0,22.2,3340,Mortality,12356437,All Races,Female,Female Breast,2009-2013,26.1,28.0,27.0
216,Alabama,113.7,121.8,117.7,3421,Incidence,2463573,All Races,Female,Female Breast,2010,134.2,143.6,138.9
217,Alabama,21.7,25.3,23.5,696,Mortality,2463573,All Races,Female,Female Breast,2010,26.2,30.4,28.3
218,Alabama,113.5,121.5,117.5,3452,Incidence,2472801,All Races,Female,Female Breast,2011,135.0,144.3,139.6
219,Alabama,19.8,23.2,21.4,647,Mortality,2472801,All Races,Female,Female Breast,2011,24.2,28.3,26.2
220,Alabama,116.0,124.1,120.0,3565,Incidence,2481503,All Races,Female,Female Breast,2012,139.0,148.5,143.7
221,Alabama,21.1,24.6,22.8,691,Mortality,2481503,All Races,Female,Female Breast,2012,25.8,30.0,27.8
